no_cargo,CATEGORIA
ASSESSOR MILITAR,ASSESSOR
ASSESSOR MILITAR ADJUNTO,ASSESSOR
ASSESSOR MILITAR LEGISLATIVO,ASSESSOR
ASSESSOR MKT E RELACIONAMEN,ASSESSOR
ASSESSOR MKT INST E RELAC,ASSESSOR
ASSESSOR P ASS ADM GERAL,ASSESSOR
ASSESSOR P ASS ADMINISTRAT,ASSESSOR
ASSESSOR P ASS COMUNITARIOS,ASSESSOR
ASSESSOR P/ ASS ADM GERAL,ASSESSOR
ASSESSOR P/ ASS ADM GERAL (EST,ASSESSOR
ASSESSOR P/ ASS ADMINISTRAT.,ASSESSOR
ASSESSOR P/ ASS MUNICIPAIS,ASSESSOR
ASSESSOR PLANEJ E ORCAMENTO,ASSESSOR
ASSESSOR POPULAR,ASSESSOR
ASSESSOR RELACOES PUBLICAS,ASSESSOR
ASSESSOR TÉC NIVEL SUPERIOR I,ASSESSOR
ASSESSOR TÉCNICO,ASSESSOR
ASSESSOR TÉCNICO AREA FINA,ASSESSOR
ASSESSOR TÉCNICO ESP DIROP,ASSESSOR
ASSESSOR TÉCNICO ESPECIAL,ASSESSOR
ASSESSOR TÉCNICO INFORMACAO,ASSESSOR
ASSESSOR TÉCNICO JR,ASSESSOR
ASSESSOR TÉCNICO MEDIO PL,ASSESSOR
ASSESSOR TÉCNICO MEDIO SR,ASSESSOR
ASSESSOR TÉCNICO OUVIDORIA,ASSESSOR
ASSESSOR TÉCNICO PRESIDENCIA,ASSESSOR
ASSESSOR TÉCNICO SR,ASSESSOR
ASSESSOR TEC DA PRESIDENCIA,ASSESSOR
ASSESSOR TEC ESP DIROP,ASSESSOR
ASSESSOR TEC INFORMACAO,ASSESSOR
ASSESSOR TEC NIVEL SUPERIOR I,ASSESSOR
ASSESSOR TEC P ASS COMUNIT,ASSESSOR
ASSESSOR TEC P/ ASS COMUNIT,ASSESSOR
ASSESSOR TECNICO,ASSESSOR
ASSESSOR TECNICO DA  AREA FINA,ASSESSOR
ASSESSOR TECNICO DA ASSESSORIA,ASSESSOR
ASSESSOR TECNICO DE SAUDE,ASSESSOR
ASSESSOR TECNICO DE SUB GER R,ASSESSOR
ASSESSOR TECNICO DO NUC REGIO,ASSESSOR
ASSESSOR TECNICO ESPECIAL,ASSESSOR
ASSESSOR TECNICO INFORMATIC,ASSESSOR
ASSESSOR TECNICO JR,ASSESSOR
ASSESSOR TECNICO LEGISLATIVO,ASSESSOR
ASSESSOR V,ASSESSOR
ASSESSOR VI AUXILIAR MILITAR,ASSESSOR
ASSESSOR VI MILITAR,ASSESSOR
ASSESSORA TECNICA DIROP,ASSESSOR
ASSESSORIA DE PLANEJAMENTO,ASSESSOR
ASSESSORIA ESPECIAL-ASSISTEN,ASSESSOR
ASSESSORIA ESPECIAL-SETOR FI,ASSESSOR
ASSESSORIA ESPECIAL-SETOR JU,ASSESSOR
ASSESSORIA ESPECIAL - ASSISTEN,ASSESSOR
ASSESSORIA ESPECIAL - FATURAME,ASSESSOR
ASSESSORIA ESPECIAL - MEIO AMB,ASSESSOR
ASSESSORIA ESPECIAL - RECURSOS,ASSESSOR
ASSESSORIA ESPECIAL - SETOR FI,ASSESSOR
ASSESSORIA ESPECIAL - SETOR JU,ASSESSOR
ASSESSORIA ESPECIAL - SUPERVIS,ASSESSOR
ASSESSORIA II,ASSESSOR
ASSESSORIA JURIDICA,ASSESSOR
ASSESSORIA TECNICA DIDEC,ASSESSOR
ASSESSORIA TECNICA DIRAF,ASSESSOR
ASSIST ADM/FINANCAS  A2,ASSISTENTE
ASSIST ADM/FINANCAS  A3,ASSISTENTE
ASSIST ADM/FINANCAS  C4,ASSISTENTE
ASSIST ADM/FINANCAS  C5,ASSISTENTE
ASSIST DE ESTATISTICA,ASSISTENTE
ASSIST ESPECIAL PRESIDENCIA,ASSISTENTE
ASSIST OPERACIONA II AL-SP-002,ASSISTENTE
ASSIST OPERACIONAL I AL-SP-001,ASSISTENTE
ASSIST OPERACIONAL II AL-SP-00,ASSISTENTE
ASSIST OPERACIONAL III AL-SP-0,ASSISTENTE
ASSIST PROCESSAMENTO DADOS,ASSISTENTE
ASSIST SOCIAL,ASSISTENTE
ASSIST TECNICO I   AL-AS-004,ASSISTENTE
ASSIST TECNICO II AL-AS-005,ASSISTENTE
ASSIST. ADM/FINANCAS,ASSISTENTE
ASSIST. ADMINIST. III  VIII1,ASSISTENTE
ASSIST. ADMINIST. III  VIII2,ASSISTENTE
ASSIST. ADMINIST. III  VIII3,ASSISTENTE
ASSIST. ADMINIST. III  VIII4,ASSISTENTE
ASSIST. ADMINIST. III  VIII5,ASSISTENTE
ASSIST. ADMINIST. III  VIII6,ASSISTENTE
ASSIST. ADMINIST. III  VIII7,ASSISTENTE
ASSIST. ADMINIST. IV  IX6,ASSISTENTE
ASSIST. ADMINIST. IV  IX7,ASSISTENTE
ASSIST. ADMINISTRACAO A7,ASSISTENTE
ASSIST. ADMINISTRACAO C4,ASSISTENTE
ASSIST. ADMINISTRACAO C6,ASSISTENTE
ASSIST. ADMINISTRACAO C7,ASSISTENTE
ASSIST. ADMINISTRATIVO,ASSISTENTE
ASSIST. ADMINISTRATIVO B4,ASSISTENTE
ASSIST. ADMINISTRATIVO C4,ASSISTENTE
ASSIST. ADMINISTRATIVO C5,ASSISTENTE
ASSIST. ADMINISTRATIVO C6,ASSISTENTE
ASSIST. ADMINISTRATIVO C7,ASSISTENTE
ASSIST. ADMINISTRATIVO D5,ASSISTENTE
ASSIST. ADMINISTRATIVO D6,ASSISTENTE
ASSIST. ADMINISTRATIVO D7,ASSISTENTE
ASSIST. ADMINISTRATIVO I,ASSISTENTE
ASSIST. ADMINISTRATIVO I  IV1,ASSISTENTE
ASSIST. ADMINISTRATIVO I  IV6,ASSISTENTE
ASSIST. ADMINISTRATIVO I  IV7,ASSISTENTE
ASSIST. ADMINISTRATIVO II,ASSISTENTE
ASSIST. ADMINISTRATIVO III,ASSISTENTE
ASSIST. ADMINISTRATIVO IV,ASSISTENTE
ASSIST. TECNICO ADMINISTRATIVO,ASSISTENTE
ASSIST.ADM.,ASSISTENTE
ASSIST.ADMINISTRATIVO,ASSISTENTE
ASSIST.ADMINISTRATIVO II  V1,ASSISTENTE
ASSIST.ADMINISTRATIVO II  V2,ASSISTENTE
ASSIST.ADMINISTRATIVO II  V7,ASSISTENTE
ASSIST.ADMNISTRATIVO,ASSISTENTE
ASSISTENT ADM APRENDIZ,ASSISTENTE
ASSISTENT RELACOES PUBLICAS,ASSISTENTE
ASSISTENT TEC ADMINISTRACAO,ASSISTENTE
ASSISTENTE,ASSISTENTE
ASSISTENTE ADMINIST I I3,ASSISTENTE
ASSISTENTE ADMINIST I I4,ASSISTENTE
ASSISTENTE ADMINIST I I5,ASSISTENTE
ASSISTENTE ADMINIST I I6,ASSISTENTE
ASSISTENTE ADMINIST I I7,ASSISTENTE
ASSISTENTE ADMINIST II IV4,ASSISTENTE
ASSISTENTE ADMINIST II IV5,ASSISTENTE
ASSISTENTE ADMINIST II IV7,ASSISTENTE
ASSISTENTE ADMINIST III VI4,ASSISTENTE
ASSISTENTE ADMINIST III VI6,ASSISTENTE
ASSISTENTE ADMINIST III VI7,ASSISTENTE
ASSISTENTE ADMINISTATIVO I,ASSISTENTE
ASSISTENTE ADMINISTRATIVO,ASSISTENTE
ASSISTENTE ADMINISTRATIVO ( CO,ASSISTENTE
ASSISTENTE COMERCIAL,ASSISTENTE
ASSISTENTE COMUN E MARKETING,ASSISTENTE
ASSISTENTE CONTABIL,ASSISTENTE
ASSISTENTE DE ADMINISTRACAO,ASSISTENTE
ASSISTENTE DE CONTABILIDADE,ASSISTENTE
ASSISTENTE DE GABINETE,ASSISTENTE
ASSISTENTE DE OPERACOES I,ASSISTENTE
ASSISTENTE DE OPERACOES II,ASSISTENTE
ASSISTENTE DE PESSOAL,ASSISTENTE
ASSISTENTE DE PESSOAL VI7,ASSISTENTE
ASSISTENTE DE PRODUCAO,ASSISTENTE
ASSISTENTE DE SUP TECNOLOGICO,ASSISTENTE
ASSISTENTE DIRETORIA,ASSISTENTE
ASSISTENTE FINANCEIRO,ASSISTENTE
ASSISTENTE GABINETE,ASSISTENTE
